id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link;keywords
26436;VABJ;medium_airport;Bhuj Airport;2,32878E+11;6,96702E+11;268;AS;IN;IN-GJ;Bhuj;yes;VABJ;BHJ;;http://aai.aero/allAirports/bhuj_generalinfo.jsp;https://en.wikipedia.org/wiki/Bhuj_Airport;Bhuj Rudra Mata Air Force Station, Shyamji Krishna Verma, Bhuj Airport
26437;VABM;medium_airport;Belagavi Airport;158593;74618301;2487;AS;IN;IN-KA;Belgaum;yes;VOBM;IXG;;;https://en.wikipedia.org/wiki/Belgaum_Airport;VABM
26438;VABO;medium_airport;Vadodara Airport;22336201;73226303;129;AS;IN;IN-GJ;Vadodara;yes;VABO;BDQ;;http://aai.aero/allAirports/vadodara_generalinfo.jsp;https://en.wikipedia.org/wiki/Vadodara_Airport;Civil Airport Harni
26439;VABP;medium_airport;Raja Bhoj International Airport;2,32875E+11;7,73374E+11;1711;AS;IN;IN-MP;Bhopal;yes;VABP;BHO;;http://aai.aero/allAirports/bhopal_generalinfo.jsp;https://en.wikipedia.org/wiki/Bhopal_Airport;
26440;VABV;medium_airport;Bhavnagar Airport;21752199173;7,21852E+11;44;AS;IN;IN-GJ;Bhavnagar;yes;VABV;BHU;;http://aai.aero/allAirports/bhavnagar.jsp;https://en.wikipedia.org/wiki/Bhavnagar_Airport;
26441;VADN;medium_airport;Daman Airport;20434401;72843201;33;AS;IN;IN-DH;Daman;no;VADN;NMB;;;https://en.wikipedia.org/wiki/Daman_Airport;
26444;VAGO;large_airport;Dabolim Airport;153808;73831398;150;AS;IN;IN-GA;Vasco da Gama;yes;VOGO;GOI;;;https://en.wikipedia.org/wiki/Dabolim_Airport;Goa Airport, Dabolim Navy Airbase, ?????? ???????
26445;VAHB;medium_airport;Hubli Airport;15361700058;7,50849E+15;2171;AS;IN;IN-KA;Hubli;yes;VOHB;HBX;;http://www.airportsindia.org.in/allAirports/hubli_generalinfo.jsp;https://en.wikipedia.org/wiki/Hubli_Airport;VAHB
26446;VAID;medium_airport;Devi Ahilyabai Holkar Airport;2,27218E+11;7,58011E+11;1850;AS;IN;IN-MP;Indore;yes;VAID;IDR;;http://aai.aero/allAirports/indore_technicalinfo.jsp;https://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport;
26447;VAJB;medium_airport;Jabalpur Airport;2,31778E+16;8,0052E+13;1624;AS;IN;IN-MP;;yes;VAJB;JLR;;;https://en.wikipedia.org/wiki/Jabalpur_Airport;
