id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link;keywords
12243;5A8;medium_airport;Aleknagik / New Airport;5,92826E+11;-1,58618E+11;66;NA;US;US-AK;Aleknagik;yes;5A8;WKK;5A8;;https://en.wikipedia.org/wiki/Aleknagik_Airport;
332240;AF-0005;medium_airport;Khost International Airport;33284605;6980734;4204;AS;AF;AF-KHO;Khost;no;OAKS;KHT;;;;
3;AGGH;large_airport;Honiara International Airport;-9428;160054993;28;OC;SB;SB-GU;Honiara;yes;AGGH;HIR;;;https://en.wikipedia.org/wiki/Honiara_International_Airport;Henderson Field
4;AGGM;medium_airport;Munda Airport;-832797;157263;10;OC;SB;SB-WE;Munda;yes;AGGM;MUA;;;https://en.wikipedia.org/wiki/Munda_Airport;
312371;AHJ;medium_airport;Hongyuan Airport;3253154;10235224;11600;AS;CN;CN-51;Ngawa (Hongyuan);no;ZUHY;AHJ;;;https://en.wikipedia.org/wiki/Hongyuan_Airport;Aba
8;ANYN;medium_airport;Nauru International Airport;-547458;166919006;22;OC;NR;NR-14;Yaren District;yes;ANYN;INU;;;https://en.wikipedia.org/wiki/Nauru_International_Airport;ANAU
336951;AQBC;medium_airport;Boulder Clay Runway;-74739373;16403539;672;AN;AQ;AQ-U-A;Zucchelli Station;no;AQBC;;;;https://en.wikipedia.org/wiki/Zucchelli_Station;
336953;AT03;medium_airport;Concordia Skyway;-75103278;12335825;10725;AN;AQ;AQ-U-A;Concordia Station;no;AT03;;;;https://en.wikipedia.org/wiki/Concordia_Station;
336959;AT28;medium_airport;Vostok Skiway;-78466139;10684825;11447;AN;AQ;AQ-U-A;Vostok Station;no;AT28;;;;https://en.wikipedia.org/wiki/Vostok_Station;
314558;AXF;medium_airport;Alxa Left Banner Bayanhot Airport;3874831;10558858;4560;AS;CN;CN-15;Bayanhot;yes;ZBAL;AXF;;;https://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport;
53;AYBK;medium_airport;Buka Airport;-5,42232E+16;1,54673E+16;11;OC;PG;PG-NSB;Buka Island;yes;AYBK;BUA;;;https://en.wikipedia.org/wiki/Buka_Airport;
54;AYCH;medium_airport;Chimbu Airport;-6,02429E+15;1,44971E+15;4974;OC;PG;PG-CPK;Kundiawa;yes;AYCH;CMU;;;https://en.wikipedia.org/wiki/Chimbu_Airport;
55;AYDU;medium_airport;Daru Airport;-908676;143207993;20;OC;PG;PG-WPD;Daru;yes;AYDU;DAU;;;https://en.wikipedia.org/wiki/Daru_Airport;
56;AYGA;medium_airport;Goroka Airport;-6,08169E+15;1,45392E+11;5282;OC;PG;PG-EHG;Goronka;yes;AYGA;GKA;;;https://en.wikipedia.org/wiki/Goroka_Airport;
57;AYGN;medium_airport;Gurney Airport;-1,03115E+11;1,50334E+11;88;OC;PG;PG-MBA;Gurney;yes;AYGN;GUR;;;https://en.wikipedia.org/wiki/Gurney_Airport;
58;AYGR;medium_airport;Girua Airport;-8,80454E+11;1,48309E+11;311;OC;PG;PG-NPP;Popondetta;yes;AYGR;PNP;;;https://en.wikipedia.org/wiki/Girua_Airport;
59;AYHK;medium_airport;Hoskins Airport;-5463846;150407327;66;OC;PG;PG-WBK;Kimbe;yes;AYHK;HKN;;;https://en.wikipedia.org/wiki/Hoskins_Airport;
60;AYKM;medium_airport;Kerema Airport;-7,96361E+11;1,45771E+11;10;OC;PG;PG-GPK;Kerema;yes;AYKM;KMA;;;https://en.wikipedia.org/wiki/Kerema_Airport;
61;AYKV;medium_airport;Kavieng Airport;-2,5794E+11;1,50808E+11;7;OC;PG;PG-NIK;Kavieng;yes;AYKV;KVG;;;https://en.wikipedia.org/wiki/Kavieng_Airport;
62;AYMD;medium_airport;Madang Airport;-5,20708E+11;1,45789E+11;20;OC;PG;PG-MPM;Madang;yes;AYMD;MAG;;;https://en.wikipedia.org/wiki/Madang_Airport;
63;AYMH;medium_airport;Mount Hagen Kagamuga Airport;-5828212;144299412;5388;OC;PG;PG-WHM;Mount Hagen;yes;AYMH;HGU;;;https://en.wikipedia.org/wiki/Mount_Hagen_Airport;
64;AYMN;medium_airport;Mendi Airport;-614774;143656998;5680;OC;PG;PG-SHM;Mendi;yes;AYMN;MDU;;;https://en.wikipedia.org/wiki/Mendi_Airport;
65;AYMO;medium_airport;Momote Airport;-206189;147423996;12;OC;PG;PG-MRL;Manus Island;yes;AYMO;MAS;;;https://en.wikipedia.org/wiki/Momote_Airport;
66;AYNZ;medium_airport;Nadzab Airport;-6569803;146725977;239;OC;PG;PG-MPL;Lae;yes;AYNZ;LAE;;;https://en.wikipedia.org/wiki/Lae_Nadzab_Airport;MFO
67;AYPY;large_airport;Port Moresby Jacksons International Airport;-9,44338E+15;1,4722E+16;146;OC;PG;PG-NCD;Port Moresby;yes;AYPY;POM;;;https://en.wikipedia.org/wiki/Jacksons_International_Airport;
68;AYTK;medium_airport;Tokua Airport;-434046;152380005;49;OC;PG;PG-EBR;Kokopo;yes;AYTK;RAB;;;https://en.wikipedia.org/wiki/Rabaul_Airport;
69;AYVN;medium_airport;Vanimo Airport;-26926;1413028;10;OC;PG;PG-SAN;Vanimo;yes;AYVN;VAI;;;https://en.wikipedia.org/wiki/Vanimo_Airport;
70;AYWD;medium_airport;Wapenamanda Airport;-5635293;143892231;5889;OC;PG;PG-EPW;Wapenamanda;yes;AYWD;WBM;;;https://en.wikipedia.org/wiki/Wapenamanda_Airport;
71;AYWK;medium_airport;Wewak International Airport;-3,58383E+11;1,43669E+11;19;OC;PG;PG-ESW;Wewak;yes;AYWK;WWK;;;https://en.wikipedia.org/wiki/Wewak_International_Airport;
44941;AZ-0001;medium_airport;Zabrat Airport;4,04955E+11;4,99768E+11;36;AS;AZ;AZ-BA;Baku;no;UBTT;ZXT;;;https://en.wikipedia.org/wiki/Zabrat_Airport;
44952;AZ-0011;medium_airport;Fuzuli International Airport;39594578;47196128;1247;AS;AZ;AZ-FUZ;Fuzuli;no;UBBF;FZL;;;https://en.wikipedia.org/wiki/Fuzuli_International_Airport;
44954;AZ-0013;medium_airport;Sitalchay Airbase;40807313;49431481;-46;AS;AZ;AZ-XIZ;Sitalchay;no;;;;;;
44962;AZ-0021;medium_airport;Qizilagach Air Base;39006162;48806312;;AS;AZ;AZ-MAS;Qizilagach;no;;;;;;
27301;BCW;medium_airport;Benguera Island Airport;-2,18533E+16;3,54383E+15;;AF;MZ;MZ-I;Benguera Island;yes;;BCW;;;https://en.wikipedia.org/wiki/Benguera_Island_Airport;
111;BG-JAM;medium_airport;Bezmer Air Base;4,24549E+11;2,63522E+11;509;EU;BG;BG-28;Yambol;no;LBIA;JAM;;;https://en.wikipedia.org/wiki/Bezmer_Airbase;LB44
31697;BGAA;medium_airport;Aasiaat Airport;68721802;-52784698;74;NA;GL;GL-QK;Aasiaat;yes;BGAA;JEG;;http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/;https://en.wikipedia.org/wiki/Aasiaat_Airport;Mittarfik Aasiaat, Aasiaat Lufthavn, Egedesminde
113;BGBW;medium_airport;Narsarsuaq Airport;611605;-45425999;112;NA;GL;GL-KU;Narsarsuaq;yes;BGBW;UAK;;;https://en.wikipedia.org/wiki/Narsarsuaq_Airport;Mittarfik Narsarsuaq
114;BGGH;medium_airport;Nuuk Airport;64193022;-51676512;283;NA;GL;GL-SE;Nuuk;yes;BGGH;GOH;;;https://en.wikipedia.org/wiki/Nuuk_Airport;Godthåb, Nuussuaq, Mittarfik Nuuk
31786;BGKK;medium_airport;Kulusuk Airport;65573601;-371236;117;NA;GL;GL-SE;Kulusuk;yes;BGKK;KUS;;;https://en.wikipedia.org/wiki/Kulusuk_Airport;Kap Dan, BGKD
115;BGSF;medium_airport;Kangerlussuaq Airport;67010446;-50715294;165;NA;GL;GL-QA;Kangerlussuaq;yes;BGSF;SFJ;;;https://en.wikipedia.org/wiki/Kangerlussuaq_Airport;Bluie West 8, Sondrestrom Air Base, Sondrestromfjord Air Base
31700;BGSS;medium_airport;Sisimiut Airport;66951302;-53729301;33;NA;GL;GL-QA;Sisimiut;yes;BGSS;JHS;;https://www.mit.gl/en/todays-flights/airports/sisimiut-airport/;https://en.wikipedia.org/wiki/Sisimiut_Airport;
116;BGTL;medium_airport;Thule Air Base;76531197;-68703201;251;NA;GL;GL-AV;Pituffik;yes;BGTL;THU;;;https://en.wikipedia.org/wiki/Thule_Air_Base;
117;BIAR;medium_airport;Akureyri Airport;6,566E+15;-1,80727E+15;6;EU;IS;IS-6;Akureyri;yes;BIAR;AEY;;;https://en.wikipedia.org/wiki/Akureyri_Airport;
119;BIEG;medium_airport;Egilsstaðir Airport;6,52833E+14;-1,44014E+16;76;EU;IS;IS-7;Egilsstaðir;yes;BIEG;EGS;;;https://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport;
120;BIHN;medium_airport;Hornafjörður Airport;64295601;-152272;24;EU;IS;IS-8;Höfn;yes;BIHN;HFN;;;https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport;
121;BIHU;medium_airport;Húsavík Airport;65952301;-17426001;48;EU;IS;IS-6;Húsavík;yes;BIHU;HZK;;;https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport;
122;BIIS;medium_airport;Ísafjörður Airport;6,60581E+15;-2,31353E+16;8;EU;IS;IS-4;Ísafjörður;yes;BIIS;IFJ;;;https://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport;
123;BIKF;large_airport;Keflavik International Airport;63985001;-226056;171;EU;IS;IS-2;Reykjavík;yes;BIKF;KEF;;https://www.isavia.is/en/keflavik-airport;https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport;Keflavik Naval Air Station,REK
125;BIRK;medium_airport;Reykjavik Airport;6,413E+11;-2,19406E+11;48;EU;IS;IS-1;Reykjavik;yes;BIRK;RKV;;;https://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport;REK
126;BISI;medium_airport;Siglufjörður Airport;66137847;-18908157;10;EU;IS;IS-6;Siglufjörður;no;BISI;SIJ;;;https://en.wikipedia.org/wiki/Siglufj%C3%B6r%C3%B0ur_Airport;
128;BIVM;medium_airport;Vestmannaeyjar Airport;6,34243E+15;-2,02789E+16;326;EU;IS;IS-8;Vestmannaeyjar;no;BIVM;VEY;;;https://en.wikipedia.org/wiki/Vestmannaeyjar_Airport;
4614;BKPR;medium_airport;Priština Adem Jashari International Airport;425728;21035801;1789;EU;XK;XK-01;Prishtina;yes;BKPR;PRN;;http://www.airportpristina.com/;https://en.wikipedia.org/wiki/Pristina_International_Airport;LYPR, Pristina, Slatina Air Base
333222;BR-0569;medium_airport;Glauber de Andrade Rocha Airport;-14907885;-40914804;2940;SA;BR;BR-BA;Vitória da Conquista;yes;SBVC;VDC;BA0005;;https://en.wikipedia.org/wiki/Glauber_Rocha_Airport;SSVC
353792;BTZ;medium_airport;Betong International Airport;579;10115;761;AS;TH;TH-95;Betong;no;;BTZ;;;;
34946;BY-0001;medium_airport;Orsha Airport - Balbasovo Air Base;54439999;302967;620;EU;BY;BY-VI;Orsha;no;UMIO;TXC;;;https://en.wikipedia.org/wiki/Balbasovo;Balbasava, Bolbasovo, Orsha Southwest
34952;BY-0003;medium_airport;Bobrovichi Air Base;5,22783E+15;2,936E+16;440;EU;BY;BY-HO;Kalinovichi;no;;;;;https://en.wikipedia.org/wiki/Bobrovichi;
44363;BY-0006;medium_airport;Osovtsy Air Base;5,2557E+11;2,4884E+16;;EU;BY;BY-BR;Byaroza;no;UMMO;;;;;Byaroza Air Base, Beryoza Air Base, ???????? ??????, ???????? ??????, ???????? ??????, ????
42216;BZ-BGK;medium_airport;Big Creek Airport;16519369;-88407913;22;NA;BZ;BZ-SC;Big Creek;yes;MZBG;BGK;;;https://en.wikipedia.org/wiki/Big_Creek_Airport_(Belize);
30861;BZ-CUK;medium_airport;Caye Caulker Airport;17735015;-88032862;2;NA;BZ;BZ-BZ;Caye Caulker;yes;MZCK;CUK;;;https://en.wikipedia.org/wiki/Caye_Caulker_Airport;
30867;BZ-CYC;medium_airport;Caye Chapel Airport;17683792;-88044985;3;NA;BZ;BZ-BZ;Caye Chapel;yes;MZCP;CYC;;;https://en.wikipedia.org/wiki/Caye_Chapel_Airport;
42209;BZ-CZH;medium_airport;Corozal Municipal Airport;1,83822E+16;-8,84119E+15;40;NA;BZ;BZ-CZL;Corozal;yes;;CZH;;;https://en.wikipedia.org/wiki/Corozal_Airport;Ranchito Airport
42207;BZ-DGA;medium_airport;Dangriga Airport;1698251;-88230988;508;NA;BZ;BZ-SC;Dangriga;yes;MZPB;DGA;;;https://en.wikipedia.org/wiki/Dangriga_Airport;Stann Creek Airport
42217;BZ-PLJ;medium_airport;Placencia Airport;1,6537E+16;-8,83615E+15;3;NA;BZ;BZ-SC;Placencia;yes;;PLJ;;;https://en.wikipedia.org/wiki/Placencia_Airport;
35305;BZ-PND;medium_airport;Punta Gorda Airport;16102399826;-8,88083E+15;7;NA;BZ;BZ-TOL;Punta Gorda;yes;;PND;;;https://en.wikipedia.org/wiki/Punta_Gorda_Airport;
42210;BZ-SJX;medium_airport;Sartaneja Airport;1,83561E+15;-8,81308E+15;3;NA;BZ;BZ-CZL;Sartaneja;yes;;SJX;;;https://en.wikipedia.org/wiki/Sartaneja_Airport;
32370;BZ-SPR;medium_airport;John Greif II Airport;179139;-879711;4;NA;BZ;BZ-CY;San Pedro;yes;MZSP;SPR;;;https://en.wikipedia.org/wiki/San_Pedro_Airport;
42215;BZ-TZA;medium_airport;Sir Barry Bowen Municipal Airport;17517239;-88195775;8;NA;BZ;BZ-BZ;Belize City;yes;MZBE;TZA;;;https://en.wikipedia.org/wiki/Belize_City_Municipal_Airport;Belize City Municipal
27300;BZB;medium_airport;Bazaruto Island Airport;-215411;354729;;AF;MZ;MZ-I;Bazaruto Island;no;;BZB;;;https://en.wikipedia.org/wiki/Bazaruto_Island_Airport;
320060;CA-0582;medium_airport;Bamfield Airstrip;488206;-1251193;232;NA;CA;CA-BC;Bamfield;yes;;;;;;
624;CAJ4;medium_airport;Anahim Lake Airport;52451501;-125303776;3635;NA;CA;CA-BC;Anahim Lake;yes;CAJ4;YAA;CAJ4;;https://en.wikipedia.org/wiki/Anahim_Lake_Airport;AJ4
657;CAZ5;medium_airport;Cache Creek-Ashcroft Regional Airport;50775258;-121321314;2034;NA;CA;CA-BC;Cache Creek;yes;CAZ5;YZA;CAZ5;;https://en.wikipedia.org/wiki/Cache_Creek_Airport;AZ5
664;CBBC;medium_airport;Bella Bella (Campbell Island) Airport;52185001;-128156994;141;NA;CA;CA-BC;Bella Bella;yes;CBBC;ZEL;CBBC;;https://en.wikipedia.org/wiki/Bella_Bella_(Campbell_Island)_Airport;BBC
344674;CD-0024;medium_airport;Boma Lukandu International Airport;-580543;1299582;281;AF;CD;CD-KO;Boma;no;;;;;https://en.wikipedia.org/wiki/Boma_International_Airport;
505530;CL-0015;medium_airport;Nuevo Chaitén Airport;-42781943;-72834999;95;SA;CL;CL-LL;Chaitén;no;SCTN;WCH;;;https://en.wikipedia.org/wiki/Nuevo_Chait%C3%A9n_Airport;
43972;CN-0003;medium_airport;Laohutun Air Base;39669998;121765999;;AS;CN;CN-21;Wafangdian, Dalian;no;;;;;;
43973;CN-0004;medium_airport;Pulandian Air Base;39450901;122017998;;AS;CN;CN-21;Pulandian, Dalian;no;;;;;;
44082;CN-0006;medium_airport;Beijing Shahezhen Air Base;4,01492E+16;1,16321E+15;;AS;CN;CN-11;Beijing;no;;;;;;
44083;CN-0007;medium_airport;Beijing Tongxian Air Base;3,98111E+15;1,16708E+16;;AS;CN;CN-11;Beijing;no;;;;;;
44127;CN-0012;medium_airport;Yuanmou Air Base;25737499;101882004;3810;AS;CN;CN-53;Chuxiong (Yuanmou);no;ZPYM;YUA;;;;
44089;CN-0013;medium_airport;Fengning Air Base;4,12608E+16;1,16618E+16;;AS;CN;CN-13;;no;;;;;;
44090;CN-0014;medium_airport;Hohhot Bikeqi Air Base;40737015;111229749;;AS;CN;CN-15;Hohhot;no;;;;;;
44091;CN-0015;medium_airport;Huairen Air Base;39717499;113142998;3260;AS;CN;CN-14;Shuozhou;no;;;;;https://en.wikipedia.org/wiki/Huairen_Air_Base;Datong Huairen Airport
44092;CN-0016;medium_airport;Liangxiangzhen Air Base;3,97578E+14;1,16126E+15;;AS;CN;CN-11;Beijing;no;;;;;;
44094;CN-0018;medium_airport;Tangguantun Air Base;38781101;117068001;;AS;CN;CN-12;Jinghai;no;;;;;;
44096;CN-0020;medium_airport;Wenshui Air Base;37407799;111966003;;AS;CN;CN-14;Lüliang;no;;;;;;
44097;CN-0021;medium_airport;Yangcun Air Base;3,93733E+15;1,17095E+16;;AS;CN;CN-12;;no;;;;;;Meichong
44098;CN-0022;medium_airport;Yongning Air Base;4,05031E+15;1,16108E+16;;AS;CN;CN-11;Yongning;no;;;;;;
44100;CN-0024;medium_airport;Zhangjiakou Ningyuan Airport;40738602;11493;2347;AS;CN;CN-13;Zhangjiakou;yes;ZBZJ;ZQZ;;;https://en.wikipedia.org/wiki/Zhangjiakou_Ningyuan_Airport;Zhangjiakou Air Base, ???????, ZZHA
44101;CN-0025;medium_airport;Tangshan Zunhua Air Base;40102501;117887001;;AS;CN;CN-13;Tangshan;no;;;;;;
44102;CN-0026;medium_airport;Chengdu Huangtianba Air Base;30705299;103949997;;AS;CN;CN-51;Chengdu (Qingyang);no;;;;;;
44103;CN-0027;medium_airport;Baoshan Yunrui Airport;25053301;99168297;5453;AS;CN;CN-53;Baoshan (Longyang);yes;ZPBS;BSD;;;https://en.wikipedia.org/wiki/Baoshan_Yunrui_Airport;Baoshan Yunduan Airport
44106;CN-0030;medium_airport;Chongqing Baishiyi Air Base;294953;106359001;;AS;CN;CN-50;Chongqing;no;;;;;;
44116;CN-0040;medium_airport;Lincang Boshang Airport;237381;100025002;6230;AS;CN;CN-53;Lincang;yes;ZPLC;LNJ;;;https://en.wikipedia.org/wiki/Lincang_Airport;Lintsang Airfield
44117;CN-0041;medium_airport;Luliang Air Base;24988192;103642833;;AS;CN;CN-53;Qujing (Luliang);no;;;;;;
44119;CN-0043;medium_airport;Honghe Mengzi Airport / Mengzi Air Base;233953;103334;;AS;CN;CN-53;Honghe;no;;;;;;ZWEE
44121;CN-0045;medium_airport;Qionglai Air Base;3049099;103466139;;AS;CN;CN-51;Chengdu (Qionglai);no;;;;;;
44122;CN-0046;medium_airport;Xigaze Peace Airport / Shigatse Air Base;293519;89311401;3782;AS;CN;CN-54;Xigazê (Samzhubzê);yes;ZURK;RKZ;;;https://en.wikipedia.org/wiki/Shigatse_Peace_Airport;
44124;CN-0048;medium_airport;Wenshan Air Base;2,37156E+16;1,03827E+15;;AS;CN;CN-53;;no;;;;;;
44125;CN-0049;medium_airport;Xiangyun Midu Air Base;25445299;100735001;;AS;CN;CN-53;Dali (Xiangyun);no;;;;;;Beitun Airport
44126;CN-0050;medium_airport;Panzhihua Bao'anying Airport;2654;10179852;1620;AS;CN;CN-51;Panzhihua (Renhe);yes;ZUZH;PZI;;;https://en.wikipedia.org/wiki/Panzhihua_Bao'anying_Airport;Xining Air Base, ????????
44131;CN-0053;medium_airport;Baihe Ningming Air Base;22120481;107125046;;AS;CN;CN-45;Ningming;no;;;;;;
44133;CN-0055;medium_airport;Changsha Datuopu Airport / Changsha Air Base;28068522;112957306;170;AS;CN;CN-43;Changsha (Tianxin);no;ZGCS;;;;;Changsha City Airport
44134;CN-0056;medium_airport;Dangyang Air Base;30798599;111809998;;AS;CN;CN-42;Yichang (Dangyang);no;;;;;;
44135;CN-0057;medium_airport;Foluo Northeast Air Base;186922;109161003;;AS;CN;CN-46;Ledong (Da'anzhen);no;;;;;;
44139;CN-0061;medium_airport;Foshan Shadi Airport;230833;11307;6;AS;CN;CN-44;Foshan (Nanhai);yes;ZGFS;FUO;;;https://en.wikipedia.org/wiki/Foshan_Shadi_Airport;Guangzhou Shadi Air Base
44141;CN-0063;medium_airport;Guiping Mengxu Air Base;23330799;110009003;171;AS;CN;CN-45;Guiping (Guigang);no;;;;;;
323907;CN-0067;medium_airport;Xinyang Minggang Airport;32540819;114079141;312;AS;CN;CN-41;Xinyang;yes;ZHXY;XAI;;;https://en.wikipedia.org/wiki/Xinyang_Minggang_Airport;Queshan Air Base, ??????
44146;CN-0068;medium_airport;Huizhou Pingtan Airport;23049999;114599998;50;AS;CN;CN-44;Huizhou (Pingtan);yes;ZGHZ;HUZ;;;https://en.wikipedia.org/wiki/Huizhou_Airport;Huiyang Air Base, Pingtan Airport
44147;CN-0069;medium_airport;Jialaishi Air Base;19697201;109725998;;AS;CN;CN-46;Lingao (Jialai);no;;;;;;
44149;CN-0071;medium_airport;Leiyang Air Base;2,65872E+16;1,12892E+16;;AS;CN;CN-43;;no;;;;;;
44150;CN-0072;medium_airport;Lingshui Air Base;184944;109987999;;AS;CN;CN-46;Lingshui (Huayuan);no;;;;;;
324349;CN-0074;medium_airport;Shangqiu Air Base;34449507;115459261;;AS;CN;CN-41;Shangqiu;no;;;;;https://en.wikipedia.org/wiki/Shangqiu_Airport;
324768;CN-0076;medium_airport;Zhengzhou Air Base;3486125;113729631;;AS;CN;CN-41;Zhengzhou;no;;;;;;
44157;CN-0079;medium_airport;Shaoguan Danxia Airport;249786;113420998;280;AS;CN;CN-44;Shaoguan;yes;ZGSG;HSC;;;https://en.wikipedia.org/wiki/Shaoguan_Danxia_Airport;Shaoguan Air Base, Shaoguan Guitou Airport
44158;CN-0080;medium_airport;Suixi Air Base;213958;110199997;;AS;CN;CN-44;Zhanjiang (Suixi);no;;;;;;
44159;CN-0081;medium_airport;Jinggangshan Airport;26856899;114737;281;AS;CN;CN-36;Ji'an;yes;ZSJA;JGS;;;https://en.wikipedia.org/wiki/Jinggangshan_Airport;Tiahe Air Base, Ji'an Airport
44160;CN-0082;medium_airport;Baise Youjiang Airport;237206;106959999;490;AS;CN;CN-45;Baise (Tianyang);yes;ZGBS;AEB;;;https://en.wikipedia.org/wiki/Baise_Youjiang_Airport;Tian Yang Air Base, Bose airport, ??????
329666;CN-0083;medium_airport;Guodu Air Base;36000428;117625833;;AS;CN;CN-37;Xintai, Tai'an;no;;;;;;
44163;CN-0085;medium_airport;Xiaogan Air Base;3095359;113911774;;AS;CN;CN-42;Xiaogan (Xiaonan);no;;;;;;
44167;CN-0089;medium_airport;Lianyungang Huaguoshan International Airport;3441406;11917899;;AS;CN;CN-32;Lianyungang;yes;ZSLG;LYG;;;https://en.wikipedia.org/wiki/Lianyungang_Huaguoshan_International_Airport;
44168;CN-0090;medium_airport;Cangxian Air Base;38403025;116930924;;AS;CN;CN-13;Cangzhou;no;;;;;;
44169;CN-0091;medium_airport;Dongying Shengli Airport;3,75086E+11;1,18788E+11;15;AS;CN;CN-37;Dongying;no;ZSDY;DOY;;;https://en.wikipedia.org/wiki/Dongying_Shengli_Airport;Dongying Air Base, Dongying Yong'an Airport
44170;CN-0092;medium_airport;Jiaozhou Jiaocheng Air Base;36331163;120025538;62;AS;CN;CN-37;Jiaozhou, Qingdao;no;;;;;;
44172;CN-0094;medium_airport;Jiugucheng Air Base;37491153;116116726;75;AS;CN;CN-13;Hengshui;no;;;;;;
44173;CN-0095;medium_airport;Kaifeng Air Base;3,47539E+15;1,14339E+16;;AS;CN;CN-41;Kaifeng;no;;;;;;
44174;CN-0096;medium_airport;Laiyang Air Base;369636;120591003;;AS;CN;CN-37;Yantai;no;;;;;;
44175;CN-0097;medium_airport;Luyang Air Base;33685434;11289053;469;AS;CN;CN-41;Xuchang (Pingdingshan);no;;;;;;
44182;CN-0104;medium_airport;Xingcheng Air Base;40580328;120700374;30;AS;CN;CN-21;Xingcheng, Huludao;no;ZYXC;XEN;;;;
44184;CN-0106;medium_airport;Xuzhou Daguozhang Air Base;34229285;117245665;;AS;CN;CN-32;Xuzhou;no;;;;;;
44189;CN-0111;medium_airport;Zhucheng Air Base;36027468;11943778;;AS;CN;CN-37;Weifang;no;;;;;;
44191;CN-0113;medium_airport;Altay Xuedu Airport;47749886;88085808;2460;AS;CN;CN-65;Altay;yes;ZWAT;AAT;;;https://en.wikipedia.org/wiki/Altay_Xuedu_Airport;Altay Air Base
44192;CN-0114;medium_airport;Baoji Air Base;3453125;107470679;;AS;CN;CN-61;Baoji (Fengxiang);no;;;;;;
44195;CN-0117;medium_airport;Gonghe Air Base;363367;100480003;;AS;CN;CN-63;Hainan (Gonghe);no;;;;;;
339961;CN-0121;medium_airport;Huangdicun Naval Air Base;4049979;120659295;97;AS;CN;CN-21;Huludao;no;;;;;;
44201;CN-0123;medium_airport;Lanzhou Air Base;35917801;104218002;;AS;CN;CN-62;Lanzhou (Yuzhong);no;;;;;;
44203;CN-0125;medium_airport;Lintao Air Base;353083;103835999;;AS;CN;CN-62;Dingxi (Lintao);no;;;;;;
44205;CN-0127;medium_airport;Qingshui Air Base;39554699;98884201;;AS;CN;CN-62;Jiuquan (Suzhou);no;;;;;;
44208;CN-0130;medium_airport;Tianshui Maijishan Airport;34559399;105860001;3590;AS;CN;CN-62;Tianshui (Maiji);yes;ZLTS;THQ;;;https://en.wikipedia.org/wiki/Tianshui_Maijishan_Airport;Tianshui Air Base, ???????, ZBEE
44210;CN-0132;medium_airport;Ürümqi South Air Base;43466593;87531177;;AS;CN;CN-65;Ürümqi;no;;;;;;
44211;CN-0133;medium_airport;Uxxaktal Air Base;421814;87188103;;AS;CN;CN-65;Hoxud, Bayingolin;no;;;;;;
44212;CN-0134;medium_airport;Wugong Air Base;34275907;1082658;;AS;CN;CN-61;Xianyang (Wugong);no;;;;;;
44213;CN-0135;medium_airport;Ürümqi Changji Air Base;43951175;87079232;2425;AS;CN;CN-65;Ashilixiang;no;;;;;;
44214;CN-0136;medium_airport;Wuwei Air Base;379883;102567001;;AS;CN;CN-62;Wuwei;no;;;;;;
44215;CN-0137;medium_airport;Xi'an Air Base;34153059;108599739;1337;AS;CN;CN-61;Xi'an (Huyi);no;;;;;;Huxian Air Base
44216;CN-0138;medium_airport;Xincheng Air Base;255483;114619003;;AS;CN;CN-36;Ganzhou;no;;;;;;
44217;CN-0139;medium_airport;Yaerbashi Test Range;43077202;92808098;;AS;CN;CN-65;Yizhou, Hami;no;;;;;;
44218;CN-0140;medium_airport;Yanliang Air Base;34642248;109241867;;AS;CN;CN-61;Xi'an (Yanliang);no;;;;;;
44224;CN-0146;medium_airport;Daishan Air Base;30287581;122144401;7;AS;CN;CN-33;Zhoushan;no;;;;;;
44225;CN-0147;medium_airport;Feidong Air Base;31909401;117658997;;AS;CN;CN-34;Hefei;no;;;;;;
44227;CN-0149;medium_airport;Fuzhou Air Base;260044;119311996;;AS;CN;CN-35;Fuzhou;no;;;;;;
44230;CN-0152;medium_airport;Huian Air Base;2,50261E+16;1,18807E+16;;AS;CN;CN-35;;no;;;;;;
44231;CN-0153;medium_airport;Hangzhou Jianqiao Airport;303353;120240997;;AS;CN;CN-33;Hangzhou;no;;;;;https://en.wikipedia.org/wiki/Hangzhou_Jianqiao_Airport;
44232;CN-0154;medium_airport;Jiaxing Airport / Jiaxing Air Base;30705535;120679779;17;AS;CN;CN-33;Xiuzhou, Hangzhou;no;;;;;https://en.wikipedia.org/wiki/Jiaxing_Airport;
44236;CN-0158;medium_airport;Longtian Air Base;255728;119459999;13;AS;CN;CN-35;Fuzhou (Fuqing);no;;;;;;L'ung-tien
44241;CN-0163;medium_airport;Nanchang Xiangtang Air Base;28421205;115923375;75;AS;CN;CN-36;Nanchang;no;;;;;;
